episode,timestep,reward
122,2000,18.1989
231,4000,19.4962
330,6000,21.0521
433,8000,20.4247
501,10000,27.0322
574,12000,24.7721
628,14000,31.8218
683,16000,31.4285
728,18000,36.9953
774,20000,37.8205
809,22000,43.7786
839,24000,52.4792
872,26000,48.6856
902,28000,46.9334
931,30000,46.6743
962,32000,50.591
989,34000,56.8357
1014,36000,59.6948
1041,38000,60.8345
1068,40000,59.1335
1092,42000,59.6652
1119,44000,56.6464
1142,46000,66.5963
1165,48000,70.0557
1190,50000,55.3172
1215,52000,63.648
1238,54000,66.1339
1259,56000,71.0321
1284,58000,63.4387
1312,60000,59.3015
1335,62000,68.6154
1358,64000,68.7895
1381,66000,70.5212
1406,68000,71.1428
1432,70000,59.1033
1458,72000,67.5068
1481,74000,60.6916
1505,76000,66.0298
1529,78000,70.7607
1554,80000,65.2352
1584,82000,61.3984
1608,84000,73.0213
1629,86000,70.3397
1656,88000,64.9005
1680,90000,73.9642
1706,92000,70.4143
1732,94000,62.7923
1756,96000,65.3372
1780,98000,68.8292
1806,100000,69.4962
1830,102000,70.673
1858,104000,67.3731
1880,106000,76.3154
1906,108000,74.3628
1927,110000,77.6721
1951,112000,77.5527
1976,114000,70.029
2000,116000,70.7897
2026,118000,69.6597
2051,120000,74.0976
2075,122000,79.8557
2099,124000,69.9951
2125,126000,75.7179
2148,128000,76.7383
2171,130000,73.7459
2196,132000,74.9626
2222,134000,77.3013
2248,136000,72.0805
2276,138000,67.803
2304,140000,71.8632
2330,142000,73.4823
2355,144000,67.9206
2376,146000,75.4707
2402,148000,67.4581
2427,150000,78.6483
2453,152000,72.2172
2480,154000,75.1218
2506,156000,77.032
2527,158000,84.7095
2553,160000,77.7228
2578,162000,81.1549
2605,164000,70.9508
2629,166000,82.0744
2653,168000,78.2224
2677,170000,82.4301
2703,172000,79.4608
2728,174000,80.9138
2748,176000,87.8701
2772,178000,83.6188
2796,180000,83.5981
2819,182000,82.6217
2843,184000,82.4013
2867,186000,68.2957
2889,188000,86.9967
2910,190000,83.6453
2932,192000,84.3047
2954,194000,85.6844
2979,196000,82.5557
3000,198000,89.0158
3024,200000,81.4943
3046,202000,89.1026
3069,204000,84.4268
3092,206000,86.3105
3115,208000,81.8665
3138,210000,87.4483
3160,212000,90.6679
3183,214000,82.4501
3208,216000,82.3496
3231,218000,81.5769
3254,220000,88.3191
3279,222000,82.8027
3306,224000,80.1394
3330,226000,85.2121
3352,228000,89.6655
3374,230000,93.1259
3398,232000,84.1146
3420,234000,87.8426
3443,236000,84.9581
3467,238000,89.5657
3493,240000,81.7471
3518,242000,84.8387
3541,244000,86.9866
3563,246000,93.5005
3586,248000,85.6489
3611,250000,84.2724
3634,252000,88.4885
3657,254000,93.5055
3680,256000,97.7705
3703,258000,90.3527
3727,260000,90.8246
3752,262000,85.0806
3773,264000,101.9909
3795,266000,97.3137
3821,268000,76.6517
3842,270000,100.0444
3865,272000,94.0373
3888,274000,95.185
3912,276000,93.7987
3935,278000,95.5236
3958,280000,98.5121
3973,282000,99.7555
3992,284000,131.2805
4014,286000,96.6613
4038,288000,97.5518
